City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
145,Saint-Philippe,RE,2022-10-18 18:59:48,-21.3585,55.7679,67.59,78,44,9.1
146,Lagoa,PT,2022-10-18 18:59:49,39.05,-27.9833,64.17,50,100,31.32
147,Aitape,PG,2022-10-18 18:59:50,-3.1374,142.3475,78.1,87,96,4.36
148,Pao De Acucar,BR,2022-10-18 18:59:50,-9.7483,-37.4367,87.17,43,25,19.64
149,Mar Del Plata,AR,2022-10-18 18:56:57,-38.0023,-57.5575,62.62,85,40,20.71
150,Puerto Montt,CL,2022-10-18 18:59:51,-41.4698,-72.9447,68.83,56,0,10.36
151,Vila Velha,BR,2022-10-18 18:55:59,-20.3297,-40.2925,80.55,78,75,16.11
152,Verkhoyansk,RU,2022-10-18 18:59:52,67.5447,133.385,-1.57,100,100,2.37
153,Kirovohrad,UA,2022-10-18 18:59:52,48.5132,32.2597,52.36,40,36,8.79
154,Tuktoyaktuk,CA,2022-10-18 18:59:52,69.4541,-133.0374,28.4,93,100,10.36
155,Santa Cecilia,BR,2022-10-18 18:59:53,-26.9608,-50.4269,54.72,98,100,3.38
156,Hofn,IS,2022-10-18 18:59:53,64.2539,-15.2082,44.04,59,0,1.3
157,Katsuura,JP,2022-10-18 18:59:54,35.1333,140.3,57.83,83,100,19.64
158,Besikduzu,TR,2022-10-18 18:59:54,41.052,39.2284,64.29,88,51,3.51
159,Carnarvon,AU,2022-10-18 18:59:55,-24.8667,113.6333,66.6,80,0,13.27
160,Concordia,AR,2022-10-18 18:56:47,-31.393,-58.0209,75.27,54,75,11.99
161,Kaoma,ZM,2022-10-18 18:59:56,-14.7833,24.8,77.04,24,89,5.37
162,Ouadda,CF,2022-10-18 18:59:56,8.0777,22.4007,70.63,81,5,3.0
163,Beloha,MG,2022-10-18 18:59:58,-25.1667,45.05,69.44,76,7,20.11
164,Bengkulu,ID,2022-10-18 18:59:58,-3.8004,102.2655,75.2,90,100,4.45
165,Svetlaya,RU,2022-10-18 18:59:58,46.5389,138.3297,37.18,61,100,6.42
166,La Rioja,ES,2022-10-18 18:59:59,42.25,-2.5,65.98,51,100,7.34
167,Bom Jardim,BR,2022-10-18 19:00:03,-7.7958,-35.5872,79.95,57,74,14.38
168,San Lazaro,BZ,2022-10-18 19:00:04,18.0387,-88.6622,89.55,60,100,3.13
169,Makokou,GA,2022-10-18 19:00:05,0.5738,12.8642,70.68,97,99,1.14
170,Thompson,CA,2022-10-18 19:00:06,55.7435,-97.8558,43.32,50,47,13.78
