City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
331,Pacocha,PE,-17.5833,-71.3333,63.59,84,100,2.55,overcast clouds
332,Khasan,RU,42.4308,130.6434,45.66,63,61,3.02,broken clouds
333,Pochutla,MX,15.7432,-96.4661,74.82,71,100,2.84,overcast clouds
334,Aras,ES,42.5617,-2.356,53.76,93,20,2.3,few clouds
335,Esperance,AU,-33.8667,121.9,65.82,68,49,16.08,scattered clouds
336,Hofn,IS,64.2539,-15.2082,46.89,88,100,22.95,overcast clouds
337,Qaqortoq,GL,60.7167,-46.0333,4.6,90,10,4.61,clear sky
338,Benghazi,LY,32.1167,20.0667,67.5,59,0,15.37,clear sky
339,North Bend,US,43.4065,-124.2243,45.86,100,0,6.91,clear sky
340,Erenhot,CN,43.6475,111.9767,43.65,19,9,9.28,clear sky
341,Ginda,IN,30.6945,78.4932,60.1,26,0,5.99,clear sky
342,Cabo San Lucas,MX,22.8909,-109.9124,73.51,71,48,3.4,scattered clouds
343,Marienburg,PL,54.0359,19.0266,32.88,81,8,8.86,clear sky
344,Hit,IQ,33.6416,42.8251,64.63,72,90,4.81,overcast clouds
